gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
ABHD14B,0.5242369276240202,-1.0297341120932646,-0.955717706497779,0.33974982282643434,-0.5483386510326425
ABHD15,0.6634894816115459,2.465706017993663,0.2698791247418639,0.10140490772740023,0.9843866130450191
ABHD16A,0.5622973357184562,-0.653044333468748,0.11794907722206856,0.3162608462818366,-0.05498193222111159
ABHD2,-0.705381626322451,-1.4037669294224644,-1.0902409138292897,-0.37033844336873933,-1.085163226799878
ABHD3,-0.6702574702709986,0.20106648116741313,-0.23278415477109204,2.013777642734359,-0.17287088865958936
ABHD4,0.20515750726981613,0.5276236186074705,1.7436101107141577,1.7385747828453917,0.733362357783413
ABHD5,-0.5692294508932272,-5.473062554370467,-0.9856697621695749,2.054586051906159,-1.7676834579894514
ABHD6,0.4687090918556772,-0.31448402127823166,1.6765338340148677,-1.937282814148361,0.46820669107724977
ABHD8,1.8342564489934126,1.1401375917621124,1.402825164298952,0.39326779335062567,1.3845400758954696
ABI1,-0.8988723557485345,0.47166463492828875,1.918014326108671,0.4619765181292138,0.45773915207385113
ABI2,-0.3041073050409428,0.24869262069060621,0.18620016517627358,-0.5940009927261418,0.07813660957959688
ABI3,1.8205872436297075,1.754195937479777,0.5112492354010164,0.6593586803061403,1.2259417229435066
ABLIM2,-0.4657520473487618,0.12417783867850636,-0.412963249360852,-0.23790611002515563,-0.21412362644111627
ABT1,-0.09650615206626292,-0.5615313584113161,0.5402783095718219,1.0462617734894701,-0.061344553302808726
ABTB1,0.37272463808398765,0.24936563030948394,-0.23716516591224343,0.34382606843080266,0.11639960772591738
ACAA2,-0.8468852772275708,-1.5827198420117956,0.42809199187654007,0.28663446448940677,-0.6097161436838692
ACAD8,-0.2976904493666439,-0.8863079526670355,-0.5325569719924662,0.43008927752291787,-0.5951515925041563
ACAD9,-0.1463239452738887,-1.3890392122621142,0.28383782623470444,-1.3387350469585264,-0.3904427626053182
ACADL,-0.054688741138233875,0.022671154288723985,1.861225546404695,0.9621629496189295,0.4639047738314909
ACADM,-1.0710379003785737,-1.841002622157029,-1.511335594723606,-0.27429114944355076,-1.4880906493406487
