dataset,filename,relative_download_path,bytes,md5,url,analysis_role
GSE279183,GSM8563694_MS497T_barcodes.tsv.gz,GSE279183_snRNA/GSM8563694_MS497T_barcodes.tsv.gz,45776,dc3032a4f4da8b004994de0bbc942160,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563694/suppl/GSM8563694_MS497T_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563694_MS497T_features.tsv.gz,GSE279183_snRNA/GSM8563694_MS497T_features.tsv.gz,333437,b2ab365b009a7104f1ca536afcc95e4f,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563694/suppl/GSM8563694_MS497T_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563694_MS497T_matrix.mtx.gz,GSE279183_snRNA/GSM8563694_MS497T_matrix.mtx.gz,58473269,21bea3c23da3839bef3f81da2eadcd6f,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563694/suppl/GSM8563694_MS497T_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563695_MS549H_barcodes.tsv.gz,GSE279183_snRNA/GSM8563695_MS549H_barcodes.tsv.gz,87304,561eaff30baf940747f11a1407d4a464,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563695/suppl/GSM8563695_MS549H_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563695_MS549H_features.tsv.gz,GSE279183_snRNA/GSM8563695_MS549H_features.tsv.gz,333437,d3e6c35d75216cdb7ea0e75490713e87,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563695/suppl/GSM8563695_MS549H_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563695_MS549H_matrix.mtx.gz,GSE279183_snRNA/GSM8563695_MS549H_matrix.mtx.gz,141927256,de0bac5c94ff524a7f7efb3f64d7f971,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563695/suppl/GSM8563695_MS549H_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563696_MS549T_barcodes.tsv.gz,GSE279183_snRNA/GSM8563696_MS549T_barcodes.tsv.gz,36635,62a51c41a1a12a218fe28f13a2e5e6e8,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563696/suppl/GSM8563696_MS549T_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563696_MS549T_features.tsv.gz,GSE279183_snRNA/GSM8563696_MS549T_features.tsv.gz,333437,8b27cca313b6ecc1827fcd08aaecafee,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563696/suppl/GSM8563696_MS549T_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563696_MS549T_matrix.mtx.gz,GSE279183_snRNA/GSM8563696_MS549T_matrix.mtx.gz,73714484,c85726bb1f9e49db87e5539eafb5c11d,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563696/suppl/GSM8563696_MS549T_matrix.mtx.gz,Reconstruction for the matched benchmark
Macnair,ms_lesions_snRNAseq_cleaned_counts_matrix_2023-09-12.mtx.gz,Macnair/ms_lesions_snRNAseq_cleaned_counts_matrix_2023-09-12.mtx.gz,4563990935,e493a6563be877a68a6b58c12a845ad5,https://zenodo.org/records/8338963/files/ms_lesions_snRNAseq_cleaned_counts_matrix_2023-09-12.mtx.gz?download=1,Primary human validation
Macnair,ms_lesions_snRNAseq_col_data_2023-09-12.txt.gz,Macnair/ms_lesions_snRNAseq_col_data_2023-09-12.txt.gz,41375860,b6b859e35dbae9e60b451f7755ce0508,https://zenodo.org/records/8338963/files/ms_lesions_snRNAseq_col_data_2023-09-12.txt.gz?download=1,Primary human validation
Macnair,ms_lesions_snRNAseq_col_data_column_descriptions_2023-09-12.txt,Macnair/ms_lesions_snRNAseq_col_data_column_descriptions_2023-09-12.txt,2676,a64e78d80c705833321fb8b40fc3a7b7,https://zenodo.org/records/8338963/files/ms_lesions_snRNAseq_col_data_column_descriptions_2023-09-12.txt?download=1,Primary human validation
Macnair,ms_lesions_snRNAseq_row_data_2023-09-12.txt.gz,Macnair/ms_lesions_snRNAseq_row_data_2023-09-12.txt.gz,404195,918da97c97fa2b0e055fb19acd2d033b,https://zenodo.org/records/8338963/files/ms_lesions_snRNAseq_row_data_2023-09-12.txt.gz?download=1,Primary human validation
Macnair,ms_lesions_snRNAseq_scripts_2023-09-12.zip,Macnair/ms_lesions_snRNAseq_scripts_2023-09-12.zip,328474,7b25ac44332ade88b316f5d9b1812d9e,https://zenodo.org/records/8338963/files/ms_lesions_snRNAseq_scripts_2023-09-12.zip?download=1,Source study scripts for reference
GSE180759,GSE180759_annotation.txt.gz,GSE180759_annotation.txt.gz,462034,baf71eb916649b9047021d008d72f1c6,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180759/suppl/GSE180759_annotation.txt.gz,"Candidate screening only, not positive disease validation"
GSE180759,GSE180759_expression_matrix.csv.gz,GSE180759_expression_matrix.csv.gz,118956771,8215498952ecaf9417a8c5d97960b253,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180759/suppl/GSE180759_expression_matrix.csv.gz,"Candidate screening only, not positive disease validation"
