sample_id,dataset,group,Endothelial_immune_activation,BBB_specialization,Structural_ECM_remodeling,Tight_junction,BBB_transport_identity,Caveolae_structural,PLVAP_permeability,Adhesion_trafficking,IFN_antigen_presentation,Wnt_BBB,TGF_response,VEGF_response,ROS_Src,ECM_protease,subset
Active_1,GSE208747,Active,0.17911169342492234,-0.06692086468835229,0.12625241774254536,-0.1753707252397519,-0.16140951190143543,-0.177380690480104,-0.1372677197885638,-0.10763290916166295,0.19569500893455835,-0.15128324690264983,0.031159983180636147,-0.11227085906491076,-0.015505929754761918,0.1069879448861389,
Active_2,GSE208747,Active,0.1608371342836288,0.00781682823844386,0.15215997880299967,-0.03259178063939633,-0.16336133681370085,-0.18650544008048828,-0.1401354283855935,-0.10942244812950924,0.16424197726323514,-0.15028567701333467,0.06291297228181439,-0.11789588732156642,-0.002739159991529982,0.14360602645857895,
Active_3,GSE208747,Active,-0.047212855062665524,-0.058509205725446,-0.151836322914314,-0.03191099443913739,-0.26242350666734104,-0.27734062827095257,-0.15357608668388983,-0.1499379237449734,-0.04523163256665513,-0.202124394528066,-0.03109005473498684,-0.18195974050991418,-0.05749607601003677,-0.12287293100121355,
Control_1,GSE208747,Control,-0.20316013037447475,-0.07400196816569957,-0.18878214900147436,-0.11438890966914006,-0.20111715205383954,-0.21407470461854708,-0.1421646340758908,-0.1270293213158491,-0.23432057381399674,-0.17005852970476204,-0.274129478197785,-0.13756399593604934,-0.09500558099879086,-0.1981183731397571,
Control_2,GSE208747,Control,-0.14557797767163438,-0.04796402170891648,-0.12085581967557266,-0.24107498273047945,-0.17349845989251972,-0.18755315102282194,-0.13907249161506358,-0.12038873952458423,-0.18183782538303783,-0.15649265560926517,-0.26279008850394014,-0.12377790038425485,-0.11396194503212763,-0.059110686388373995,
Mixed_1,GSE208747,Mixed_active_inactive,0.13453353955923963,-0.04259614947633775,0.09941952847117383,-0.11148003296621517,-0.20727576086198413,-0.21986769887004973,-0.14333279429136686,-0.12107637973490917,0.1151049921989374,-0.17269077443453926,0.026466289145905306,-0.1380735931304434,-0.035564849056527924,0.10633757414036865,
Mixed_2,GSE208747,Mixed_active_inactive,-0.08425426530149337,-0.07262228905246032,0.025160344419597448,-0.24488819290391908,-0.16042839184132557,-0.1920035976977195,-0.13887184893138915,-0.11883283593489533,-0.10664945197556942,-0.15774967140249957,-0.25509645329247554,-0.11312378338784274,-0.08566284739530591,-0.007197441867558468,
Mixed_3,GSE208747,Mixed_active_inactive,-0.03516281705520398,0.10401110250084074,0.1217066349210908,0.03236151603985632,0.10368214846125905,-0.20331546814284435,-0.14677787328188127,-0.1324695286774918,-0.05965900768360852,-0.13607332949098525,0.14583650475789423,-0.04116482902155863,0.0435727057412284,0.017395352012166188,
Mixed_4,GSE208747,Mixed_active_inactive,-0.2493237489306649,-0.18180539461057976,-0.22752535490214332,-0.2717136444171202,-0.19581028225986913,-0.20160618982942452,-0.14355857310617468,-0.12645568330520882,-0.2937837975403853,-0.16968312701143617,-0.266514793441483,-0.13370567634142175,-0.1880017851010507,-0.3643890428351153,
Mixed_5,GSE208747,Mixed_active_inactive,0.14369704459542834,-0.04662275914398751,0.05774381378629703,-0.15626637346190658,-0.2221367346691721,-0.21393380719101734,-0.14960486970518827,-0.13569040851561487,0.2217917384841241,-0.17626606555468582,-0.0173319617881489,-0.15641519870867604,-0.09518778713591236,-0.0002948098195584281,
Mixed_6,GSE208747,Mixed_active_inactive,-0.22409491495168735,-0.16344553321316008,-0.19739444084283056,-0.2469218214020824,-0.18268443025474437,-0.1872459388831566,-0.13942279772713856,-0.11581669256189389,-0.2903774776806716,-0.15865056341226386,-0.26302181366712707,-0.12174197510826704,-0.1265033973500589,-0.3589654335002937,
NAWM_1,GSE208747,NAWM,-0.22376149824288072,-0.18946012246928734,-0.2444627997205606,-0.2760914489970333,-0.2023307163139183,-0.20439519950632862,-0.14132991317383478,-0.12205369502458817,-0.26106362272658046,-0.16859322423413559,-0.2755716803676085,-0.14028523550511557,-0.1342359394784962,-0.3651291213467507,
