celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
Macrophage,TGF_remodeling,Acute_vs_All_recovery,-0.14035336606758153,0.5714285714285714,2,5,-0.4,0.6666666666666666
Macrophage,TGF_remodeling,NR_remission_vs_recovery,-0.10563157970801246,1.0,3,3,-0.1111111111111111,1.0
Macrophage,TGF_remodeling,R_remission_vs_recovery,-0.2150995740167975,0.13333333333333333,4,2,-1.0,0.4666666666666667
Macrophage,TGF_remodeling,NR_vs_R_remission,0.02641267855395847,0.8571428571428571,3,4,0.16666666666666666,1.0
Macrophage,Myeloid_proteolytic,Acute_vs_NR_recovery,0.7382089063311937,0.2,2,3,1.0,0.35000000000000003
Macrophage,Myeloid_proteolytic,Acute_vs_R_recovery,0.5039024047124175,0.3333333333333333,2,2,1.0,0.5833333333333333
Macrophage,Myeloid_proteolytic,Acute_vs_All_recovery,0.6551012455619957,0.09523809523809523,2,5,1.0,0.2222222222222222
Macrophage,Myeloid_proteolytic,NR_remission_vs_recovery,0.48800131515212763,0.4,3,3,0.5555555555555556,0.7000000000000001
Macrophage,Myeloid_proteolytic,R_remission_vs_recovery,-0.23320374884683956,0.5333333333333333,4,2,-0.5,0.5333333333333333
Macrophage,Myeloid_proteolytic,NR_vs_R_remission,0.486898562380191,0.05714285714285714,3,4,1.0,0.13333333333333333
Macrophage,Chemokine,Acute_vs_NR_recovery,1.1296494080426454,0.2,2,3,1.0,0.35000000000000003
Macrophage,Chemokine,Acute_vs_R_recovery,1.3894174162440907,0.3333333333333333,2,2,1.0,0.5833333333333333
Macrophage,Chemokine,Acute_vs_All_recovery,1.1795779214872741,0.09523809523809523,2,5,1.0,0.2222222222222222
Macrophage,Chemokine,NR_remission_vs_recovery,0.45678876917304423,0.7,3,3,0.3333333333333333,0.9799999999999999
Macrophage,Chemokine,R_remission_vs_recovery,-0.14113433819770183,0.5333333333333333,4,2,-0.5,0.5333333333333333
Macrophage,Chemokine,NR_vs_R_remission,0.8576911155721914,0.4,3,4,0.5,0.56
Macrophage,VEGF_angiogenic,Acute_vs_NR_recovery,0.2687993532153721,0.4,2,3,0.6666666666666666,0.46666666666666673
Macrophage,VEGF_angiogenic,Acute_vs_R_recovery,-0.6062081481826216,0.3333333333333333,2,2,-1.0,0.5833333333333333
Macrophage,VEGF_angiogenic,Acute_vs_All_recovery,-0.07408890301268092,1.0,2,5,0.0,1.0
Macrophage,VEGF_angiogenic,NR_remission_vs_recovery,-0.030217749391446502,1.0,3,3,0.0,1.0
Macrophage,VEGF_angiogenic,R_remission_vs_recovery,-0.3104091461468952,0.5333333333333333,4,2,-0.5,0.5333333333333333
