dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,1700028J19RIK,4,3,-0.9710819912008404,0.6776333566967923,-2.5845243679488905,0.6423603855472098
GSE210776,1700028K03RIK,4,3,0.38101296958487796,0.5978504216325221,-1.1344744700672944,1.89650040923705
GSE210776,1700029I15RIK,4,3,-0.018861716611398224,0.5833689097686863,-1.515882091812546,1.4781586585897495
GSE210776,1700029J07RIK,4,3,1.6312470265268573,0.8494300194886046,-0.17517771944719618,3.4376717725009107
GSE210776,1700030J22RIK,4,3,0.7564720718343944,0.6405583328798755,-0.8122117368381278,2.3251558805069164
GSE210776,1700030K09RIK,4,3,-0.5427794441192094,0.6127942858291692,-2.077090536577755,0.9915316483393365
GSE210776,1700034H15RIK,4,3,-1.2863671980981992,0.7488073901676345,-2.9824268875159934,0.40969249131959495
GSE210776,1700034J05RIK,4,3,-0.432149426739727,0.6020086460364809,-1.9528980629757569,1.0885992094963028
GSE210776,1700034P13RIK,4,3,0.8354115540669412,0.6531245798001876,-0.7485844641605038,2.419407572294386
GSE210776,1700037C18RIK,4,3,0.2329080811368144,0.5887579507592167,-1.2710109803942928,1.7368271426679218
GSE210776,1700037H04RIK,4,3,0.5255311497248617,0.6109516322664469,-1.0064713928692366,2.05753369231896
GSE210776,1700040D17RIK,4,3,-1.0872178799015486,0.7015376051710952,-2.7288715778614074,0.5544358180583102
GSE210776,1700041G16RIK,4,3,-2.6747598731508906,1.2987673712351502,-4.908443989882026,-0.44107575641975494
GSE210776,1700042G07RIK,4,3,0.06295333606880232,0.5837296455855525,-1.434529821259339,1.5604364933969437
GSE210776,1700042O10RIK,4,3,1.9219569643511354,0.9527251906151165,0.008847168164039632,3.835066760538231
GSE210776,1700048O20RIK,4,3,-0.5429517790982792,0.612812996775932,-2.0772862955628018,0.9913827373662434
GSE210776,1700055D18RIK,4,3,-0.026707397843889633,0.5834046618432925,-1.523773645188072,1.4703588495002926
GSE210776,1700056E22RIK,4,3,-0.6980093276077959,0.6320550354760821,-2.256246352031525,0.8602276968159333
GSE210776,1700056N10RIK,4,3,-0.09503477177216602,0.5842364941179121,-1.5931679153222882,1.4030983717779562
GSE210776,1700061G19RIK,4,3,-0.9603100950347631,0.675552881195901,-2.5712737657617515,0.6506535756922255
GSE210776,1700061I17RIK,4,3,0.8939752311056244,0.6632525047163689,-0.7022549597247592,2.490205421936008
GSE210776,1700064H15RIK,4,3,-0.2599879842941247,0.5900927085310655,-1.7656108285326613,1.245634859944412
GSE210776,1700065D16RIK,4,3,-0.38422919292717517,0.5980965406030803,-1.9000285432307678,1.1315701573764172
GSE210776,1700066B19RIK,4,3,1.1259759634906745,0.7101155203692087,-0.5256837420934848,2.777635669074834
GSE210776,1700066M21RIK,4,3,-0.7403743521949484,0.6381487514721423,-2.306104930441213,0.8253562260513161
GSE210776,1700067K01RIK,4,3,-0.49329262636763405,0.6076670948562012,-2.0211715193429844,1.0345862666077164
GSE210776,1700084C06RIK,4,3,0.446002124302276,0.6032251228215476,-1.076282222274032,1.968286470878584
GSE210776,1700084E18RIK,4,3,1.0026810591003719,0.6838702639611978,-0.6181693368440957,2.6235314550448394
GSE210776,1700086L19RIK,4,3,0.10949082867226305,0.5845321574896672,-1.3890213455232974,1.6080030028678236
GSE210776,1700086O06RIK,4,3,-0.45508503230548564,0.6040435719961819,-1.9784017381091512,1.06823167349818
GSE210776,1700086P04RIK,4,3,0.620515634510409,0.621837298600519,-0.925074921330223,2.166106190351041
GSE210776,1700088E04RIK,4,3,3.193200304830594,1.6029861520103532,0.7116621524817384,5.6747384571794495
GSE210776,1700095J03RIK,4,3,0.8600532769097569,0.6573024972456545,-0.7290009302898925,2.4491074841094065
GSE210776,1700099I09RIK,4,3,-2.1630220229623984,1.051199760515368,-4.172571474953028,-0.15347257097176925
GSE210776,1700102P08RIK,4,3,-2.091267947666749,1.0206734962271629,-4.0714243311643425,-0.11111156416915535
GSE210776,1700104B16RIK,4,3,-1.3737927143709898,0.7720639755392146,-3.0959892677386494,0.34840383899666993
GSE210776,1700109H08RIK,4,3,1.1269291936457033,0.7103302740824289,-0.5249802411947964,2.778838628486203
GSE210776,1700112J16RIK,4,3,-0.19884253800183954,0.5872871688252347,-1.7008819475244463,1.3031968715207674
GSE210776,1700113A16RIK,4,3,-0.0758919638377972,0.5839092923508491,-1.5736055337486203,1.4218216060730258
GSE210776,1700120B22RIK,4,3,-0.04879213555390679,0.5835714005825244,-1.5460723005456913,1.448488029437878
GSE210776,1700123O20RIK,4,3,-0.12162159658102947,0.5848125146088252,-1.620493090779669,1.3772498976176102
GSE210776,1700125G22RIK,4,3,-1.8755526947827097,0.9351031244240018,-3.770887009036331,0.019781619470911505
GSE210776,1700125H03RIK,4,3,-3.3513494226903426,1.7064876286300228,-5.911748390457885,-0.7909504549228004
GSE210776,1810009A15RIK,4,3,-1.2238452063200846,0.7331130422365985,-2.9020368113092516,0.45434639866908233
GSE210776,1810010H24RIK,4,3,0.9257868204577461,0.6690414570266596,-0.6773942863775407,2.5289679272930328
GSE210776,1810013L24RIK,4,3,0.9443362559501093,0.6725104297635204,-0.6629957156660656,2.5516682275662843
GSE210776,1810014B01RIK,4,3,0.4137606152828705,0.6004531180092594,-1.1050220216156328,1.932543252181374
GSE210776,1810019N24RIK,4,3,0.32374933047076965,0.5938146962313605,-1.1866143797137656,1.834113040655305
GSE210776,1810021B22RIK,4,3,1.440966212235554,0.7909716958137814,-0.3021909426527314,3.1841233671238394
GSE210776,1810022K09RIK,4,3,-0.7886522500197708,0.645530570479458,-2.3634126253003673,0.786108125260826
GSE210776,1810024B03RIK,4,3,3.3373644423532802,1.6971334754417358,0.7839925620238657,5.890736322682695
GSE210776,1810030O07RIK,4,3,-0.7998616844685269,0.6473112047614163,-2.376792476929457,0.7770691079924033
GSE210776,1810032O08RIK,4,3,-0.4365957410105992,0.6023949174401928,-1.9578321837893817,1.0846407017681834
GSE210776,1810034E14RIK,4,3,-0.30900976678722036,0.5928820369303226,-1.8181869045253745,1.200167370950934
GSE210776,1810037I17RIK,4,3,0.1682409935954575,0.5861638365259321,-1.3323612169846886,1.6688432041756034
