subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Angiogenic,Lsr,0.30768759129568934,0.05714285714285714,0.10991086484864354,0.4175984561443329,4,3,0.12142857142857143
Angiogenic,Abcg2,0.705386061842243,0.08571428571428572,0.3627329673618078,1.0681190292040508,4,3,0.16190476190476188
Angiogenic,Axin2,0.02317499338338773,0.8,0.05341849755495787,0.0765934909383456,4,3,0.8242424242424243
Angiogenic,Reck,0.0768166072666645,0.11428571428571428,0.028649750165641308,0.10546635743230581,4,3,0.20451127819548873
Angiogenic,Vcam1,0.3105607026567062,0.2,0.26207964681088924,0.5726403494675955,4,3,0.26153846153846155
Angiogenic,Icam1,0.17426173140605294,0.17142857142857143,0.4950350895524025,0.6692968209584554,4,3,0.26153846153846155
Angiogenic,Cxcl9,0.24222727461407584,0.2,0.13490393664687872,0.37713121126095456,4,3,0.26153846153846155
Angiogenic,Cxcl10,0.17495213231692713,0.2,0.19047894794493914,0.36543108026186627,4,3,0.26153846153846155
Angiogenic,Stat1,0.4575556218624115,0.02857142857142857,0.5645242035388947,1.0220798254013062,4,3,0.09714285714285714
Angiogenic,Irf1,0.4424685351550579,0.05714285714285714,0.5926285274326801,1.035097062587738,4,3,0.12142857142857143
Angiogenic,B2m,-0.24735182523727417,0.2,3.105540931224823,2.858189105987549,4,3,0.26153846153846155
