threshold,value,contrast,module,n_x,n_y,median_x,median_y,delta_median,cliffs_delta,p_exact,FDR_BH
q20,module_z_ECadj,MS_lesion_vs_NAWM,Wnt_BBB,9,3,0.21050456664745004,-0.6614231174816925,0.8719276841291426,0.3333333333333333,0.48181818181818176,0.757142857142857
q20,module_z_ECadj,Active_vs_NAWM,Adhesion_trafficking,3,3,0.807933753860883,-0.43252197582540847,1.2404557296862915,1.0,0.1,0.22000000000000003
q20,module_z_ECadj,Active_vs_NAWM,BBB_transport_identity,3,3,-0.012295525283694098,0.0038573546722341923,-0.01615287995592829,-0.1111111111111111,1.0,1.0
q20,module_z_ECadj,Active_vs_NAWM,Caveolae_structural,3,3,0.7401037703515407,-0.3395434642267052,1.079647234578246,1.0,0.1,0.22000000000000003
q20,module_z_ECadj,Active_vs_NAWM,ECM_protease,3,3,0.8790924733273795,-0.4817071102474344,1.360799583574814,1.0,0.1,0.22000000000000003
q20,module_z_ECadj,Active_vs_NAWM,IFN_antigen_presentation,3,3,0.5392116905879412,-0.09005373474012038,0.6292654253280615,0.7777777777777778,0.2,0.31428571428571433
q20,module_z_ECadj,Active_vs_NAWM,PLVAP_permeability,3,3,0.3640250264924445,0.060096838333138794,0.3039281881593057,0.7777777777777778,0.2,0.31428571428571433
q20,module_z_ECadj,Active_vs_NAWM,ROS_Src,3,3,0.9406355388233483,-0.23987320811768365,1.1805087469410318,1.0,0.1,0.22000000000000003
q20,module_z_ECadj,Active_vs_NAWM,TGF_response,3,3,0.4290249070421779,-0.4424333790329538,0.8714582860751316,1.0,0.1,0.22000000000000003
q20,module_z_ECadj,Active_vs_NAWM,Tight_junction,3,3,0.06312123845650788,0.20238426404693413,-0.13926302559042625,-0.3333333333333333,0.7,0.77
q20,module_z_ECadj,Active_vs_NAWM,VEGF_response,3,3,0.09197499930903513,-0.5298440576687167,0.6218190569777517,0.5555555555555556,0.4,0.4888888888888889
q20,module_z_ECadj,Active_vs_NAWM,Wnt_BBB,3,3,0.45635365444254317,-0.6614231174816925,1.1177767719242357,0.5555555555555556,0.4,0.4888888888888889
q20,module_z_ECadj,Mixed_vs_NAWM,Adhesion_trafficking,6,3,0.05782859447149091,-0.43252197582540847,0.4903505702968994,0.6666666666666666,0.16666666666666666,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,BBB_transport_identity,6,3,-0.14929465153181531,0.0038573546722341923,-0.1531520062040495,0.0,1.0,1.0
q20,module_z_ECadj,Mixed_vs_NAWM,Caveolae_structural,6,3,-0.12449333162223544,-0.3395434642267052,0.21505013260446978,0.5555555555555556,0.26190476190476186,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,ECM_protease,6,3,-0.03847479077036772,-0.4817071102474344,0.44323231947706665,0.4444444444444444,0.38095238095238093,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,IFN_antigen_presentation,6,3,-0.46402274010283,-0.09005373474012038,-0.3739690053627096,-0.1111111111111111,0.9047619047619047,0.9952380952380951
q20,module_z_ECadj,Mixed_vs_NAWM,PLVAP_permeability,6,3,-0.041732129295970644,0.060096838333138794,-0.10182896762910944,-0.5555555555555556,0.26190476190476186,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,ROS_Src,6,3,-0.010682251713409814,-0.23987320811768365,0.22919095640427384,0.4444444444444444,0.38095238095238093,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,TGF_response,6,3,0.08879430099934765,-0.4424333790329538,0.5312276800323015,0.7777777777777778,0.09523809523809523,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,Tight_junction,6,3,-0.24554135675965363,0.20238426404693413,-0.44792562080658777,-0.1111111111111111,0.9047619047619047,0.9952380952380951
q20,module_z_ECadj,Mixed_vs_NAWM,VEGF_response,6,3,-0.014210858695434814,-0.5298440576687167,0.5156331989732819,0.4444444444444444,0.38095238095238093,0.5986394557823129
q20,module_z_ECadj,Mixed_vs_NAWM,Wnt_BBB,6,3,0.1534695683959286,-0.6614231174816925,0.8148926858776211,0.2222222222222222,0.7142857142857142,0.982142857142857
q20,module_z_ECadj,NAWM_vs_CWM,Adhesion_trafficking,3,2,-0.43252197582540847,-0.4804378020758123,0.04791582625040386,0.6666666666666666,0.4,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,BBB_transport_identity,3,2,0.0038573546722341923,0.17299835086808285,-0.16914099619584866,-0.3333333333333333,0.8,0.8800000000000001
q20,module_z_ECadj,NAWM_vs_CWM,Caveolae_structural,3,2,-0.3395434642267052,0.12465848772603827,-0.4642019519527435,-1.0,0.2,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,ECM_protease,3,2,-0.4817071102474344,-0.27435360506890216,-0.20735350517853224,-1.0,0.2,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,IFN_antigen_presentation,3,2,-0.09005373474012038,-0.09589450590730447,0.0058407711671840945,0.0,1.0,1.0
q20,module_z_ECadj,NAWM_vs_CWM,PLVAP_permeability,3,2,0.060096838333138794,0.0012672806474737508,0.05882955768566504,0.6666666666666666,0.4,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,ROS_Src,3,2,-0.23987320811768365,-0.32681357935917393,0.08694037124149029,-0.3333333333333333,0.8,0.8800000000000001
q20,module_z_ECadj,NAWM_vs_CWM,TGF_response,3,2,-0.4424333790329538,-0.04138204651103097,-0.4010513325219228,-0.6666666666666666,0.4,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,Tight_junction,3,2,0.20238426404693413,0.36048899328340017,-0.15810472923646604,-0.6666666666666666,0.4,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,VEGF_response,3,2,-0.5298440576687167,0.15026295093730038,-0.680107008606017,-0.6666666666666666,0.4,0.6285714285714287
q20,module_z_ECadj,NAWM_vs_CWM,Wnt_BBB,3,2,-0.6614231174816925,-0.1417445562668227,-0.5196785612148698,-0.3333333333333333,0.8,0.8800000000000001
q20,module_z_ECadj,Active_vs_Mixed,Adhesion_trafficking,3,6,0.807933753860883,0.05782859447149091,0.750105159389392,0.4444444444444444,0.38095238095238093,0.5238095238095237
q20,module_z_ECadj,Active_vs_Mixed,BBB_transport_identity,3,6,-0.012295525283694098,-0.14929465153181531,0.13699912624812122,0.3333333333333333,0.5476190476190476,0.5476190476190476
q20,module_z_ECadj,Active_vs_Mixed,Caveolae_structural,3,6,0.7401037703515407,-0.12449333162223544,0.8645971019737761,0.6666666666666666,0.16666666666666666,0.4583333333333333
q20,module_z_ECadj,Active_vs_Mixed,ECM_protease,3,6,0.8790924733273795,-0.03847479077036772,0.9175672640977472,0.6666666666666666,0.16666666666666666,0.4583333333333333
q20,module_z_ECadj,Active_vs_Mixed,IFN_antigen_presentation,3,6,0.5392116905879412,-0.46402274010283,1.0032344306907712,0.4444444444444444,0.38095238095238093,0.5238095238095237
q20,module_z_ECadj,Active_vs_Mixed,PLVAP_permeability,3,6,0.3640250264924445,-0.041732129295970644,0.40575715578841515,0.7777777777777778,0.09523809523809523,0.4583333333333333
q20,module_z_ECadj,Active_vs_Mixed,ROS_Src,3,6,0.9406355388233483,-0.010682251713409814,0.9513177905367581,0.8888888888888888,0.047619047619047616,0.4583333333333333
q20,module_z_ECadj,Active_vs_Mixed,TGF_response,3,6,0.4290249070421779,0.08879430099934765,0.34023060604283023,0.4444444444444444,0.38095238095238093,0.5238095238095237
q20,module_z_ECadj,Active_vs_Mixed,Tight_junction,3,6,0.06312123845650788,-0.24554135675965363,0.3086625952161615,0.3333333333333333,0.5476190476190476,0.5476190476190476
q20,module_z_ECadj,Active_vs_Mixed,VEGF_response,3,6,0.09197499930903513,-0.014210858695434814,0.10618585800446995,0.3333333333333333,0.5476190476190476,0.5476190476190476
q20,module_z_ECadj,Active_vs_Mixed,Wnt_BBB,3,6,0.45635365444254317,0.1534695683959286,0.30288408604661454,0.5555555555555556,0.26190476190476186,0.5238095238095237
q20,module_z_ECadj,Lesion_vs_nonlesional,Adhesion_trafficking,9,5,0.3773608272070583,-0.45299310937579873,0.830353936582857,0.7777777777777778,0.01898101898101898,0.20879120879120877
q20,module_z_ECadj,Lesion_vs_nonlesional,BBB_transport_identity,9,5,-0.062002624839046616,0.0038573546722341923,-0.06585997951128081,-0.06666666666666667,0.8981018981018981,0.987912087912088
q20,module_z_ECadj,Lesion_vs_nonlesional,Caveolae_structural,9,5,0.007112513076738261,-0.3319870812908743,0.33909959436761256,0.4222222222222222,0.23976023976023977,0.37676609105180536
q20,module_z_ECadj,Lesion_vs_nonlesional,ECM_protease,9,5,0.11148764063658939,-0.3654465845523318,0.4769342251889212,0.6,0.08291708291708291,0.30402930402930406
q20,module_z_ECadj,Lesion_vs_nonlesional,IFN_antigen_presentation,9,5,0.05182902481077986,-0.09005373474012038,0.14188275955090024,0.15555555555555556,0.6993006993006993,0.8547008547008547
q20,module_z_ECadj,Lesion_vs_nonlesional,PLVAP_permeability,9,5,0.05035664429293954,0.05137972812627735,-0.0010230838333378095,0.022222222222222223,1.0,1.0
q20,module_z_ECadj,Lesion_vs_nonlesional,ROS_Src,9,5,0.0671119787082709,-0.23987320811768365,0.30698518682595455,0.5555555555555556,0.11188811188811189,0.3076923076923077
q20,module_z_ECadj,Lesion_vs_nonlesional,TGF_response,9,5,0.10247616894895084,-0.2504857957795592,0.35296196472851005,0.6444444444444445,0.05994005994005994,0.30402930402930406
q20,module_z_ECadj,Lesion_vs_nonlesional,Tight_junction,9,5,0.014534728613312342,0.21975217447347528,-0.20521744586016294,-0.4222222222222222,0.23976023976023977,0.37676609105180536
q20,module_z_ECadj,Lesion_vs_nonlesional,VEGF_response,9,5,0.07801648808038036,-0.09111783972325982,0.16913432780364018,0.2,0.6063936063936064,0.8337912087912088
q20,module_z_ECadj,Lesion_vs_nonlesional,Wnt_BBB,9,5,0.21050456664745004,-0.1887543966847724,0.39925896333222244,0.4222222222222222,0.23976023976023977,0.37676609105180536
q30,module_z,MS_lesion_vs_NAWM,Adhesion_trafficking,9,3,0.1451225176571488,-0.4760980500291378,0.6212205676862865,0.7037037037037037,0.09999999999999999,0.18333333333333332
q30,module_z,MS_lesion_vs_NAWM,BBB_transport_identity,9,3,0.31407671798294856,-0.47401421751336814,0.7880909354963167,0.4074074074074074,0.3727272727272727,0.5125
q30,module_z,MS_lesion_vs_NAWM,Caveolae_structural,9,3,0.5395622170168243,-0.9287832744108742,1.4683454914276983,0.8518518518518519,0.03636363636363636,0.13999999999999999
q30,module_z,MS_lesion_vs_NAWM,ECM_protease,9,3,0.2209058920307689,-0.5755427316442194,0.7964486236749884,0.7777777777777778,0.06363636363636363,0.13999999999999999
q30,module_z,MS_lesion_vs_NAWM,IFN_antigen_presentation,9,3,-0.1548593768654305,-0.22078043443661535,0.06592105757118485,0.18518518518518517,0.7272727272727273,0.8
q30,module_z,MS_lesion_vs_NAWM,PLVAP_permeability,9,3,0.024803288589318184,-0.009976471698818157,0.03477976028813634,0.18518518518518517,0.7272727272727273,0.8
q30,module_z,MS_lesion_vs_NAWM,ROS_Src,9,3,0.0977937441573636,-0.3199947722229069,0.4177885163802705,0.7777777777777778,0.06363636363636363,0.13999999999999999
q30,module_z,MS_lesion_vs_NAWM,TGF_response,9,3,0.40654121317778064,-0.5617441326143846,0.9682853457921652,0.8518518518518519,0.03636363636363636,0.13999999999999999
q30,module_z,MS_lesion_vs_NAWM,Tight_junction,9,3,0.06384807273099152,-0.002636895872623113,0.06648496860361464,-0.037037037037037035,1.0,1.0
q30,module_z,MS_lesion_vs_NAWM,VEGF_response,9,3,0.1527138087509006,-0.5501112625875464,0.702825071338447,0.4074074074074074,0.3727272727272727,0.5125
q30,module_z,MS_lesion_vs_NAWM,Wnt_BBB,9,3,0.37066154944204643,-0.8922307074418973,1.2628922568839438,0.7777777777777778,0.06363636363636363,0.13999999999999999
q30,module_z,Active_vs_NAWM,Adhesion_trafficking,3,3,0.8310985835110234,-0.4760980500291378,1.3071966335401612,0.7777777777777778,0.2,0.275
q30,module_z,Active_vs_NAWM,BBB_transport_identity,3,3,-0.36392006003572563,-0.47401421751336814,0.1100941574776425,0.1111111111111111,1.0,1.0
q30,module_z,Active_vs_NAWM,Caveolae_structural,3,3,0.5395622170168243,-0.9287832744108742,1.4683454914276983,0.7777777777777778,0.2,0.275
q30,module_z,Active_vs_NAWM,ECM_protease,3,3,0.8656786824050057,-0.5755427316442194,1.4412214140492252,1.0,0.1,0.275
q30,module_z,Active_vs_NAWM,IFN_antigen_presentation,3,3,0.673461383938854,-0.22078043443661535,0.8942418183754693,0.7777777777777778,0.2,0.275
q30,module_z,Active_vs_NAWM,PLVAP_permeability,3,3,0.5113703435458941,-0.009976471698818157,0.5213468152447123,0.7777777777777778,0.2,0.275
q30,module_z,Active_vs_NAWM,ROS_Src,3,3,0.7404529428068771,-0.3199947722229069,1.060447715029784,1.0,0.1,0.275
q30,module_z,Active_vs_NAWM,TGF_response,3,3,0.1529565052502936,-0.5617441326143846,0.7147006378646782,1.0,0.1,0.275
q30,module_z,Active_vs_NAWM,Tight_junction,3,3,-0.2723475036815718,-0.002636895872623113,-0.2697106078089487,-0.1111111111111111,1.0,1.0
q30,module_z,Active_vs_NAWM,VEGF_response,3,3,0.05748711299259498,-0.5501112625875464,0.6075983755801414,0.3333333333333333,0.7,0.8555555555555554
q30,module_z,Active_vs_NAWM,Wnt_BBB,3,3,0.37066154944204643,-0.8922307074418973,1.2628922568839438,0.7777777777777778,0.2,0.275
q30,module_z,Mixed_vs_NAWM,Adhesion_trafficking,6,3,0.058503058298571615,-0.4760980500291378,0.5346011083277095,0.6666666666666666,0.16666666666666666,0.3055555555555556
q30,module_z,Mixed_vs_NAWM,BBB_transport_identity,6,3,0.7234491003238175,-0.47401421751336814,1.1974633178371856,0.5555555555555556,0.26190476190476186,0.4115646258503401
q30,module_z,Mixed_vs_NAWM,Caveolae_structural,6,3,0.30563125903161037,-0.9287832744108742,1.2344145334424845,0.8888888888888888,0.047619047619047616,0.3055555555555556
q30,module_z,Mixed_vs_NAWM,ECM_protease,6,3,0.09006430607387927,-0.5755427316442194,0.6656070377180987,0.6666666666666666,0.16666666666666666,0.3055555555555556
q30,module_z,Mixed_vs_NAWM,IFN_antigen_presentation,6,3,-0.34356744342707185,-0.22078043443661535,-0.1227870089904565,-0.1111111111111111,0.9047619047619047,0.9952380952380951
q30,module_z,Mixed_vs_NAWM,PLVAP_permeability,6,3,-0.03517025275236588,-0.009976471698818157,-0.02519378105354772,-0.1111111111111111,0.9047619047619047,0.9952380952380951
q30,module_z,Mixed_vs_NAWM,ROS_Src,6,3,0.0018433061451505889,-0.3199947722229069,0.3218380783680575,0.6666666666666666,0.16666666666666666,0.3055555555555556
q30,module_z,Mixed_vs_NAWM,TGF_response,6,3,0.4601902827354196,-0.5617441326143846,1.0219344153498042,0.7777777777777778,0.09523809523809523,0.3055555555555556
q30,module_z,Mixed_vs_NAWM,Tight_junction,6,3,0.10125205792458837,-0.002636895872623113,0.10388895379721148,0.0,1.0,1.0
q30,module_z,Mixed_vs_NAWM,VEGF_response,6,3,0.26725346354340007,-0.5501112625875464,0.8173647261309465,0.4444444444444444,0.38095238095238093,0.5238095238095237
